Projeto;;;;;;;;;;
Monitorar;;;;;;;;;;
07-25-2025 18:12:28;;;;;;;;;;
Componente;Propriedade;Valor;Alterar após Trap;Amostragem;Intervalo de amostragem;Registro;Tamanho do buffer;Estado;Determinar;Propagar estado
192.168.21.1 - Porta 12 - Redundância;Redundância;;true;true;30 Segundos;false;0;Sem Estado;true;true
192.168.21.1 - Porta 2;Carga de Entrada;0.01;false;true;30 Segundos;true;100;OK;true;true
192.168.21.1 - Porta 2;Link;Ativo;true;true;30 Segundos;true;100;OK;true;true
192.168.21.1 - Porta 2 - Redundância;Redundância;;true;true;30 Segundos;false;0;Sem Estado;true;true
192.168.21.1 - Protocolos - Protocolo Ping;Tempo Máximo de Resposta;4;false;true;30 Segundos;false;0;Sem Estado;false;true
192.168.21.1 - Protocolos - Protocolo Ping;Tempo Mínimo de Resposta;1;false;true;30 Segundos;false;0;Sem Estado;false;true
192.168.21.1 - Protocolos - Protocolo Ping;Perda de Mensagem;0;false;true;30 Segundos;false;0;Sem Estado;false;true
192.168.21.1 - Protocolos - Protocolo Ping;Desvio Padrão;1;false;true;30 Segundos;false;0;Sem Estado;false;true
192.168.21.1 - Protocolos - Protocolo Ping;Tempo de resposta médio de movimentação;0;false;true;30 Segundos;false;0;Sem Estado;false;true
192.168.21.1 - Protocolos - Protocolo Ping;Tempo de Resposta Médio;2;false;true;30 Segundos;false;0;Sem Estado;false;true
192.168.21.1 - Protocolos - Protocolo Ping;Detectado;Sim;true;true;30 Segundos;false;0;OK;true;true
192.168.21.1 - Protocolos - Protocolo SNMP V1;Perda de Mensagem;0;false;true;30 Segundos;false;0;Sem Estado;false;true
192.168.21.1 - Protocolos - Protocolo SNMP V1;Desvio Padrão;0;false;true;30 Segundos;false;0;Sem Estado;false;true
192.168.21.1 - Protocolos - Protocolo SNMP V1;Tempo de resposta médio de movimentação;0;false;true;30 Segundos;false;0;Sem Estado;false;true
192.168.21.1 - Protocolos - Protocolo SNMP V1;Tempo de Resposta Médio;0;false;true;30 Segundos;false;0;Sem Estado;false;true
192.168.21.1 - Protocolos - Protocolo SNMP V3;Perda de Mensagem;0;false;true;30 Segundos;false;0;Sem Estado;false;true
192.168.21.1 - Protocolos - Protocolo SNMP V3;Desvio Padrão;3;false;true;30 Segundos;false;0;Sem Estado;false;true
192.168.21.1 - Protocolos - Protocolo SNMP V3;Tempo de resposta médio de movimentação;4;false;true;30 Segundos;false;0;Sem Estado;false;true
192.168.21.1 - Protocolos - Protocolo SNMP V3;Tempo de Resposta Médio;5;false;true;30 Segundos;false;0;Sem Estado;false;true
192.168.21.1 - Protocolos - Protocolo SNMP V3;Detectado;Sim;true;true;2 Horas;false;0;OK;true;true
